validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,trovoada,chuvisco,nevoa_umida,nevoa_seca,nevoeiro,vis_setor,vis_setor_dir
"['09:00', '19/03']",19/03 09:00,290,8,NIL,NIL,9999,NIL,3,23,23,1008,100,,,,,NIL,,,,
"['10:00', '19/03']",19/03 10:00,290,8,NIL,NIL,9999,NIL,2,23,23,1008,100,,,,,NIL,,,,
"['11:00', '19/03']",19/03 11:00,280,9,NIL,NIL,9999,900,5,23,23,1009,100,,,,,NIL,,,,
"['12:00', '19/03']",19/03 12:00,270,11,NIL,NIL,9999,1100,5,24,23,1009,94,,,,,NIL,,,,
"['12:35', '19/03']",19/03 12:35,280,14,NIL,NIL,9999,NIL,3,25,21,1009,79,,,,,NIL,,,,
"['13:00', '19/03']",19/03 13:00,290,12,NIL,NIL,9999,NIL,3,26,22,1009,79,,,,,NIL,,,,
"['14:00', '19/03']",19/03 14:00,270,11,NIL,260,9999,2500,5,26,20,1009,70,,,,,NIL,,,,
"['15:00', '19/03']",19/03 15:00,270,13,NIL,260,9999,3000,5,27,19,1008,62,,,,,NIL,,,,
"['16:00', '19/03']",19/03 16:00,280,18,NIL,NIL,9999,NIL,3,29,18,1008,52,,,,,NIL,,,,
"['17:00', '19/03']",19/03 17:00,290,15,NIL,NIL,9999,NIL,3,29,17,1007,48,,,,,NIL,,,,
"['18:00', '19/03']",19/03 18:00,260,10,NIL,NIL,9999,NIL,3,30,17,1006,46,,,,,NIL,,,,
"['19:00', '19/03']",19/03 19:00,280,14,NIL,280,9999,NIL,3,30,16,1005,43,,,,,NIL,,,,
"['20:00', '19/03']",19/03 20:00,270,12,NIL,NIL,9999,NIL,2,30,16,1005,43,,,,,NIL,,,,
"['21:00', '19/03']",19/03 21:00,270,8,NIL,NIL,9999,NIL,2,29,17,1005,48,,,,,NIL,,,,
"['22:00', '19/03']",19/03 22:00,290,8,NIL,NIL,9999,NIL,NIL,27,17,1005,54,,,,,NIL,,,,
"['23:00', '19/03']",19/03 23:00,280,10,NIL,NIL,9999,NIL,NIL,26,17,1006,58,,,,,NIL,,,,
"['00:00', '20/03']",20/03 00:00,290,10,21,290,9999,NIL,NIL,25,17,1007,61,,,,,NIL,,,,
"['01:00', '20/03']",20/03 01:00,230,8,,NIL,9999,NIL,NIL,25,17,1008,61,,,,,,,,,
"['02:00', '20/03']",20/03 02:00,260,7,,NIL,9999,NIL,NIL,24,17,1008,65,,,,,,,,,
"['03:00', '20/03']",20/03 03:00,260,4,,NIL,9999,NIL,NIL,22,17,1008,73,,,,,,,,,
"['04:00', '20/03']",20/03 04:00,280,7,,NIL,9999,NIL,NIL,21,16,1008,73,,,,,,,,,
"['05:00', '20/03']",20/03 05:00,270,6,,NIL,9999,NIL,NIL,20,17,1009,83,,,,,,,,,
"['06:00', '20/03']",20/03 06:00,280,5,,NIL,9999,NIL,NIL,20,16,1009,78,,,,,,,,,
"['07:00', '20/03']",20/03 07:00,280,6,,NIL,9999,NIL,NIL,19,16,1009,83,,,,,,,,,
"['08:00', '20/03']",20/03 08:00,280,6,,NIL,9999,NIL,NIL,18,16,1009,88,,,,,,,,,
"['09:00', '20/03']",20/03 09:00,280,7,,290,9999,NIL,NIL,18,16,1010,88,,,,,,,,,
"['10:00', '20/03']",20/03 10:00,280,8,,NIL,9999,NIL,2,18,16,1010,88,,,,,,,,,
"['11:00', '20/03']",20/03 11:00,280,8,,NIL,9999,NIL,3,19,16,1011,83,,,,,,,,,
"['12:00', '20/03']",20/03 12:00,260,5,,260,9999,3000,5,21,16,1011,73,,,,,,,,,
"['13:00', '20/03']",20/03 13:00,270,8,,285,9999,3000,5,22,16,1012,69,,,,,,,,,
"['14:00', '20/03']",20/03 14:00,280,7,,NIL,9999,2700,5,23,16,1012,65,,,,,,,,,
"['15:00', '20/03']",20/03 15:00,310,7,,305,9999,2700,5,24,16,1011,61,,,,,,,,,
"['16:00', '20/03']",20/03 16:00,250,5,,255,9999,NIL,3,25,15,1011,54,,,,,,,,,
"['17:00', '20/03']",20/03 17:00,280,9,,280,9999,3500,5,26,15,1011,51,,,,,,,,,
"['18:00', '20/03']",20/03 18:00,290,7,,280,9999,4000,5,26,15,1010,51,,,,,,,,,
"['19:00', '20/03']",20/03 19:00,270,7,,NIL,9999,4000,5,27,14,1010,45,,,,,,,,,
"['20:00', '20/03']",20/03 20:00,200,6,,185,9999,4300,5,27,15,1010,48,,,,,,,,,
"['21:00', '20/03']",20/03 21:00,180,9,,180,9999,4000,5,24,18,1010,69,,,,,,,,,
"['22:00', '20/03']",20/03 22:00,170,7,,170,9999,6000,5,23,18,1011,73,,,,,,,,,
"['23:00', '20/03']",20/03 23:00,160,4,,NIL,9999,NIL,3,23,18,1011,73,,,,,,,,,
"['00:00', '21/03']",21/03 00:00,220,3,,NIL,9999,3500,5,21,20,1012,94,,,,,,,,,
"['01:00', '21/03']",21/03 01:00,VRB,2,,NIL,9999,5000,5,21,21,1012,100,,,,,,,,,
"['02:00', '21/03']",21/03 02:00,70,3,,NIL,9999,NIL,NIL,21,21,1013,100,,,,,,,,,
"['03:00', '21/03']",21/03 03:00,60,4,,NIL,9999,NIL,NIL,21,20,1012,94,,,,,,,,,
"['04:00', '21/03']",21/03 04:00,70,3,,NIL,9999,NIL,NIL,21,20,1012,94,,,,,,,,,
"['05:00', '21/03']",21/03 05:00,0,0,,NIL,9999,NIL,NIL,19,19,1012,100,,,,,,,,,
"['06:00', '21/03']",21/03 06:00,0,0,,NIL,9999,NIL,NIL,19,19,1012,100,,,,,,,,,
"['07:00', '21/03']",21/03 07:00,0,0,,NIL,9999,NIL,NIL,18,18,1012,100,,,,,,,,,
"['08:00', '21/03']",21/03 08:00,50,3,,NIL,9999,NIL,NIL,18,18,1012,100,,,,,,,,,
"['08:33', '21/03']",21/03 08:33,100,2,,NIL,6000,1400,5,18,18,1013,100,,,,,,,,,
"['09:00', '21/03']",21/03 09:00,0,0,,NIL,8000,1400,5,18,18,1013,100,,,,,,,,,
"['09:28', '21/03']",21/03 09:28,260,2,,NIL,9999,1500,5,17,17,1013,100,,,,,,,,,
"['10:00', '21/03']",21/03 10:00,270,3,,280,9999,1500,5,18,18,1014,100,,,,,,,,,
