validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuvisco,nevoa_umida,pancada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro
"['12:00', '18/02']",18/02 12:00,360,11,NIL,9999,NIL,NIL,NIL,NIL,26,19,1018,65,,,,,,,,
"['13:00', '18/02']",18/02 13:00,330,11,160,9999,NIL,NIL,NIL,2,27,20,1018,66,,,,,,,,
"['14:00', '18/02']",18/02 14:00,330,10,NIL,9999,NIL,NIL,3300,5,28,20,1018,62,,,,,,,,
"['15:00', '18/02']",18/02 15:00,330,10,155,9999,NIL,NIL,4000,5,29,20,1018,58,,,,,,,,
"['16:00', '18/02']",18/02 16:00,350,9,170,9999,NIL,NIL,4000,5,30,20,1017,55,,,,,,,,
"['17:00', '18/02']",18/02 17:00,340,10,NIL,9999,NIL,NIL,4000,5,31,19,1016,49,,,,,,,,
"['18:00', '18/02']",18/02 18:00,320,9,NIL,9999,NIL,NIL,4500,5,31,20,1015,52,,,,,,,,
"['19:00', '18/02']",18/02 19:00,340,9,NIL,9999,NIL,NIL,4500,5,31,20,1014,52,,,,,,,,
"['20:00', '18/02']",18/02 20:00,320,7,NIL,9999,NIL,NIL,4500,5,31,19,1014,49,,,,,,,,
"['20:35', '18/02']",18/02 20:35,320,9,NIL,9999,NIL,1,3500,5,31,19,1014,49,,,,,,,,
"['21:00', '18/02']",18/02 21:00,120,15,NIL,3000,1,1,3500,5,25,21,1014,79,,,,,,,,
"['21:35', '18/02']",18/02 21:35,60,9,NIL,9999,NIL,1,3300,5,23,20,1015,83,,,,,,,,
"['22:00', '18/02']",18/02 22:00,70,3,NIL,9999,NIL,1,3300,5,24,20,1015,78,,,,,,,,
"['23:00', '18/02']",18/02 23:00,40,11,NIL,9999,1,NIL,3000,5,24,20,1016,78,,,,,,,,
"['00:00', '19/02']",19/02 00:00,70,5,NIL,9999,NIL,NIL,NIL,3,23,20,1017,83,,,,,,,,
"['01:00', '19/02']",19/02 01:00,50,3,NIL,9999,NIL,NIL,NIL,NIL,23,19,1017,78,NIL,,NIL,,,,,
"['02:00', '19/02']",19/02 02:00,30,4,NIL,9999,NIL,NIL,NIL,NIL,23,20,1017,83,NIL,,NIL,,,,,
"['02:04', '19/02']",19/02 02:04,50,3,55,9999,NIL,NIL,NIL,NIL,23,20,1017,83,NIL,,NIL,,,,,
"['03:00', '19/02']",19/02 03:00,30,5,210,9999,NIL,NIL,NIL,NIL,23,20,1016,83,NIL,,NIL,,,,,
"['04:00', '19/02']",19/02 04:00,30,2,NIL,9999,NIL,NIL,NIL,NIL,23,20,1015,83,NIL,,NIL,,,,,
"['05:00', '19/02']",19/02 05:00,50,4,NIL,9999,NIL,NIL,NIL,NIL,23,20,1014,83,NIL,,NIL,,,,,
"['06:00', '19/02']",19/02 06:00,40,5,NIL,9999,NIL,NIL,NIL,NIL,23,20,1014,83,NIL,,NIL,,,,,
"['07:00', '19/02']",19/02 07:00,360,3,NIL,9999,NIL,NIL,NIL,NIL,23,20,1014,83,NIL,,NIL,,,,,
"['08:00', '19/02']",19/02 08:00,310,5,NIL,9999,NIL,NIL,NIL,NIL,23,19,1014,78,NIL,,NIL,,,,,
"['09:00', '19/02']",19/02 09:00,330,5,NIL,9999,NIL,NIL,NIL,NIL,23,19,1014,78,NIL,,NIL,,,,,
"['10:00', '19/02']",19/02 10:00,320,8,NIL,9999,NIL,NIL,NIL,NIL,24,19,1016,74,NIL,,NIL,,,,,
"['11:00', '19/02']",19/02 11:00,330,10,NIL,9999,NIL,NIL,NIL,NIL,25,19,1016,69,NIL,,NIL,,,,,
