validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,nevoa_umida,vis_setor,vis_setor_dir,pancada,chuvisco,nevoeiro
"['22:00', '29/07']",29/07 22:00,190,4,,9999,,3,24,20,1020,78,,,,,,,,,
"['23:00', '29/07']",29/07 23:00,120,1,,9999,,2,22,19,1020,83,,,,,,,,,
"['00:00', '30/07']",30/07 00:00,200,1,,9999,,NIL,21,19,1021,88,,,,,,,,,
"['01:00', '30/07']",30/07 01:00,150,5,,9999,NIL,NIL,22,19,1021,83,,,,,,,,,
"['02:00', '30/07']",30/07 02:00,120,3,,9999,NIL,NIL,22,19,1021,83,,,,,,,,,
"['03:00', '30/07']",30/07 03:00,0,0,,9999,NIL,NIL,20,18,1021,88,,,,,,,,,
"['04:00', '30/07']",30/07 04:00,0,0,,9999,NIL,2,19,18,1020,94,,,,,,,,,
"['05:00', '30/07']",30/07 05:00,0,0,,9999,NIL,3,19,18,1020,94,,,,,,,,,
"['06:00', '30/07']",30/07 06:00,320,2,,9999,NIL,3,19,18,1020,94,,,,,,,,,
"['07:00', '30/07']",30/07 07:00,340,2,,9999,NIL,2,18,17,1020,94,,,,,,,,,
"['08:00', '30/07']",30/07 08:00,0,0,,9999,NIL,3,18,17,1020,94,,,,,,,,,
"['09:00', '30/07']",30/07 09:00,50,1,,9999,NIL,3,18,17,1020,94,,,,,,,,,
"['10:00', '30/07']",30/07 10:00,0,0,,9999,NIL,3,20,18,1021,88,,,,,,,,,
"['11:00', '30/07']",30/07 11:00,310,2,,9999,NIL,3,21,18,1022,83,,,,,,,,,
"['12:00', '30/07']",30/07 12:00,0,0,,9999,NIL,3,24,19,1023,74,,,,,,,,,
"['13:00', '30/07']",30/07 13:00,180,7,,9999,NIL,2,25,20,1023,74,,,,,,,,,
"['14:00', '30/07']",30/07 14:00,150,10,,9999,NIL,2,24,20,1022,78,,,,,,,,,
"['15:00', '30/07']",30/07 15:00,150,11,,9999,NIL,2,24,21,1022,83,,,,,,,,,
