validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,chuva,trovoada,nevoa_umida,teto,vnt_vrb,chuvisco,vis_setor,vis_setor_dir,vnt_rajada,nevoa_seca
"['00:15', '02/02']",02/02 00:15,240,3,9999,5,27,24,1013,84,NIL,NIL,,4000,NIL,,,,,
"['01:00', '02/02']",02/02 01:00,0,0,9999,5,27,24,1013,84,NIL,NIL,NIL,5000,,,,,,
"['02:00', '02/02']",02/02 02:00,40,1,9999,5,27,24,1014,84,NIL,NIL,NIL,5000,,,,,,
"['03:00', '02/02']",02/02 03:00,20,3,9999,5,27,25,1013,89,NIL,NIL,NIL,2000,,,,,,
"['04:00', '02/02']",02/02 04:00,310,5,5000,5,27,25,1013,89,1,NIL,1,2000,,,,,,
"['05:00', '02/02']",02/02 05:00,310,4,5000,8,27,25,1013,89,NIL,NIL,1,2000,,,,,,
"['06:00', '02/02']",02/02 06:00,160,4,6000,5,26,25,1012,94,NIL,NIL,NIL,9000,,,,,,
"['07:00', '02/02']",02/02 07:00,150,3,6000,5,26,25,1012,94,NIL,NIL,NIL,9000,,,,,,
"['08:00', '02/02']",02/02 08:00,120,4,6000,8,26,25,1011,94,NIL,NIL,NIL,1500,,,,,,
"['09:00', '02/02']",02/02 09:00,0,0,8000,5,26,25,1012,94,NIL,NIL,NIL,800,,,,,,
"['10:00', '02/02']",02/02 10:00,150,5,8000,5,27,25,1013,89,NIL,NIL,NIL,1000,,,,,,
"['11:00', '02/02']",02/02 11:00,150,7,9999,5,27,25,1013,89,NIL,NIL,NIL,1000,,,,,,
"['12:00', '02/02']",02/02 12:00,170,10,9999,3,28,25,1014,84,NIL,NIL,NIL,NIL,,,,,,
"['13:00', '02/02']",02/02 13:00,170,11,9999,5,28,25,1014,84,NIL,NIL,NIL,1800,,,,,,
"['14:00', '02/02']",02/02 14:00,180,10,9999,5,28,24,1014,79,NIL,NIL,NIL,1800,,,,,,
"['15:00', '02/02']",02/02 15:00,160,9,9999,5,29,24,1014,74,NIL,NIL,NIL,2000,,,,,,
"['16:00', '02/02']",02/02 16:00,160,11,9999,3,29,25,1013,79,NIL,NIL,NIL,NIL,,,,,,
"['17:00', '02/02']",02/02 17:00,160,13,9999,3,29,25,1013,79,NIL,NIL,NIL,NIL,,,,,,
"['18:00', '02/02']",02/02 18:00,160,12,9999,5,28,24,1013,79,NIL,NIL,NIL,1500,,,,,,
"['19:00', '02/02']",02/02 19:00,160,13,9999,5,28,25,1012,84,NIL,NIL,NIL,1700,,,,,,
"['20:00', '02/02']",02/02 20:00,160,11,9999,5,28,25,1012,84,NIL,NIL,NIL,1500,,,,,,
"['21:00', '02/02']",02/02 21:00,150,9,9999,5,27,25,1012,89,NIL,NIL,NIL,5000,,,,,,
"['21:38', '02/02']",02/02 21:38,110,12,9999,5,27,24,1013,84,NIL,NIL,NIL,1300,,,,,,
"['22:00', '02/02']",02/02 22:00,100,7,9999,5,27,24,1013,84,1,1,NIL,1300,,,,,,
"['22:32', '02/02']",02/02 22:32,20,6,9999,5,26,24,1013,89,1,1,NIL,1300,,,,,,
"['23:00', '02/02']",02/02 23:00,360,4,9999,5,26,25,1013,94,1,1,NIL,1300,,,,,,
"['00:00', '03/02']",03/02 00:00,310,3,7000,5,26,24,1014,89,1,1,NIL,800,,,,,,
"['00:13', '03/02']",03/02 00:13,10,2,7000,5,26,24,1014,89,1,1,NIL,500,,,,,,
"['01:00', '03/02']",03/02 01:00,260,2,8000,5,26,25,1015,94,1,NIL,NIL,500,,,,,NIL,
"['02:00', '03/02']",03/02 02:00,160,6,9000,5,25,24,1015,94,1,NIL,NIL,600,,,,,NIL,
"['03:00', '03/02']",03/02 03:00,330,16,5000,8,26,25,1014,94,1,1,1,800,,,,,32,
"['03:45', '03/02']",03/02 03:45,50,5,3000,8,23,23,1013,100,1,1,1,800,,,,,NIL,
"['04:00', '03/02']",03/02 04:00,30,3,4000,8,23,23,1013,100,1,1,1,1000,,,,,NIL,
"['05:00', '03/02']",03/02 05:00,270,5,8000,5,25,22,1012,83,1,NIL,NIL,10000,,,,,NIL,
"['06:00', '03/02']",03/02 06:00,350,3,8000,5,25,23,1012,89,NIL,NIL,NIL,10000,,,,,NIL,
"['07:00', '03/02']",03/02 07:00,170,5,9999,5,25,23,1012,89,NIL,NIL,NIL,10000,,,,,NIL,
"['08:00', '03/02']",03/02 08:00,180,7,9999,3,25,23,1012,89,NIL,NIL,NIL,NIL,,,,,NIL,
"['09:00', '03/02']",03/02 09:00,300,4,9999,3,25,23,1013,89,NIL,NIL,NIL,NIL,,,,,NIL,
"['10:00', '03/02']",03/02 10:00,320,4,9999,5,25,23,1013,89,NIL,NIL,NIL,10000,,,,,NIL,
"['10:23', '03/02']",03/02 10:23,330,3,9999,5,25,24,1014,94,NIL,NIL,NIL,1200,,,,,NIL,
"['11:00', '03/02']",03/02 11:00,20,5,9999,5,26,24,1014,89,NIL,NIL,NIL,9000,,,,,NIL,
"['12:00', '03/02']",03/02 12:00,350,5,9999,5,26,24,1014,89,NIL,NIL,NIL,9000,,,,,NIL,
"['13:00', '03/02']",03/02 13:00,350,2,9999,5,27,24,1013,84,NIL,NIL,NIL,9000,,,,,NIL,
"['13:40', '03/02']",03/02 13:40,120,4,9999,5,28,24,1013,79,NIL,NIL,NIL,10000,,,,,NIL,
"['14:00', '03/02']",03/02 14:00,140,5,9999,5,28,25,1013,84,NIL,NIL,NIL,10000,,,,,NIL,
"['15:00', '03/02']",03/02 15:00,160,8,9999,3,28,25,1012,84,NIL,NIL,NIL,NIL,,,,,NIL,
"['16:00', '03/02']",03/02 16:00,160,12,9999,5,28,25,1012,84,NIL,NIL,NIL,10000,,,,,NIL,
"['17:00', '03/02']",03/02 17:00,170,13,9999,5,30,26,1011,79,NIL,NIL,NIL,10000,,,,,NIL,
"['18:00', '03/02']",03/02 18:00,160,14,9999,5,29,25,1010,79,NIL,NIL,NIL,10000,,,,,NIL,
"['19:00', '03/02']",03/02 19:00,160,13,9999,3,29,25,1009,79,NIL,NIL,NIL,NIL,,,,,NIL,
