validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,vnt_rajada,chuvisco,pancada,nevoeiro,nevoa_seca
"['08:00', '16/03']",16/03 08:00,310,3,9999,NIL,2,23,22,1012,94,NIL,,,,,,,,,,
"['09:00', '16/03']",16/03 09:00,80,1,9999,NIL,2,23,21,1012,89,NIL,,,,,,,,,,
"['10:00', '16/03']",16/03 10:00,180,2,9999,NIL,2,23,22,1012,94,NIL,,,,,,,,,,
"['11:00', '16/03']",16/03 11:00,VRB,2,9999,NIL,3,24,23,1013,94,NIL,,,,,,,,,,
"['12:00', '16/03']",16/03 12:00,290,4,9999,3000,5,26,23,1013,84,290,,,,,,,,,,
"['13:00', '16/03']",16/03 13:00,330,7,9999,3000,5,28,23,1013,74,155,,,,,,,,,,
"['14:00', '16/03']",16/03 14:00,350,9,9999,3000,5,28,23,1013,74,180,,,,,,,,,,
"['15:00', '16/03']",16/03 15:00,340,10,9999,3000,5,30,24,1012,70,NIL,,,,,,,,,,
"['16:00', '16/03']",16/03 16:00,360,10,9999,3500,5,30,23,1012,66,180,,,,,,,,,,
"['17:00', '16/03']",16/03 17:00,350,11,9999,4000,5,29,22,1011,66,NIL,,,,,,,,,,
"['20:00', '16/03']",16/03 20:00,10,10,9999,NIL,3,29,22,1010,66,NIL,,,,,,,,,,
"['21:00', '16/03']",16/03 21:00,10,8,9999,NIL,3,27,22,1010,74,NIL,,,,,,,,,,
"['22:00', '16/03']",16/03 22:00,350,5,9999,NIL,2,27,23,1010,79,NIL,,,,,,,,,,
"['23:00', '16/03']",16/03 23:00,10,5,9999,NIL,2,26,23,1011,84,NIL,,,,,,,,,,
"['00:00', '17/03']",17/03 00:00,360,5,9999,NIL,2,26,23,1011,84,NIL,,,,,,,,,,
"['01:00', '17/03']",17/03 01:00,350,7,9999,,3,26,23,1011,84,,,,,NIL,,,,,,
"['02:00', '17/03']",17/03 02:00,360,7,9999,,3,26,23,1011,84,,,,,NIL,,,,,,
"['03:00', '17/03']",17/03 03:00,350,7,9999,,3,26,23,1012,84,,,,,NIL,,,,,,
"['04:00', '17/03']",17/03 04:00,340,7,9999,,3,25,23,1011,89,,,,,NIL,,,,,,
"['05:00', '17/03']",17/03 05:00,330,9,9999,,2,25,23,1010,89,,,,,NIL,,,,,,
"['06:00', '17/03']",17/03 06:00,310,1,9999,,3,25,23,1010,89,,,,,NIL,,,,,,
"['07:00', '17/03']",17/03 07:00,320,7,9999,,2,25,23,1009,89,,,,,NIL,,,,,,
