validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,chuva,trovoada,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,vnt_vrb,pancada,chuvisco,fumaca,nevoa_seca
"['21:00', '08/01']",08/01 21:00,270,5,9999,NIL,2,36,16,1007,31,,,,,,,,,,,
"['22:00', '08/01']",08/01 22:00,120,6,9999,NIL,2,34,20,1008,44,,,,,,,,,,,
"['23:00', '08/01']",08/01 23:00,100,5,9999,NIL,2,33,21,1008,49,,,,,,,,,,,
"['00:00', '09/01']",09/01 00:00,170,6,9999,NIL,3,33,20,1009,46,,,,,,,,,,,
"['02:00', '09/01']",09/01 02:00,100,3,9999,NIL,3,29,22,1011,66,NIL,NIL,NIL,,,,,,,,
"['03:00', '09/01']",09/01 03:00,130,4,9999,NIL,3,30,22,1011,62,NIL,NIL,NIL,,,,,,,,
"['04:00', '09/01']",09/01 04:00,150,3,9999,NIL,3,29,22,1010,66,NIL,NIL,NIL,,,,,,,,
"['05:00', '09/01']",09/01 05:00,140,3,9999,NIL,3,28,22,1010,70,NIL,NIL,NIL,,,,,,,,
"['06:00', '09/01']",09/01 06:00,160,2,9999,NIL,3,28,22,1010,70,NIL,NIL,NIL,,,,,,,,
"['07:00', '09/01']",09/01 07:00,0,0,9999,NIL,3,27,22,1010,74,NIL,NIL,NIL,,,,,,,,
"['08:00', '09/01']",09/01 08:00,300,2,9999,NIL,3,27,22,1010,74,NIL,NIL,NIL,,,,,,,,
"['09:00', '09/01']",09/01 09:00,310,3,9999,NIL,3,26,22,1010,79,NIL,NIL,NIL,,,,,,,,
"['10:00', '09/01']",09/01 10:00,180,3,9999,NIL,NIL,27,22,1010,74,NIL,NIL,NIL,,,,,,,,
"['11:00', '09/01']",09/01 11:00,150,5,9999,NIL,NIL,28,22,1011,70,NIL,NIL,NIL,,,,,,,,
"['12:00', '09/01']",09/01 12:00,150,2,9999,NIL,NIL,31,22,1011,59,NIL,NIL,NIL,,,,,,,,
"['13:00', '09/01']",09/01 13:00,330,3,9999,NIL,NIL,33,22,1011,53,NIL,NIL,NIL,,,,,,,,
"['14:00', '09/01']",09/01 14:00,270,5,9999,NIL,NIL,35,22,1010,47,NIL,NIL,NIL,,,,,,,,
"['15:00', '09/01']",09/01 15:00,310,7,9999,NIL,NIL,35,21,1010,44,NIL,NIL,NIL,,,,,,,,
"['16:00', '09/01']",09/01 16:00,330,5,9999,NIL,2,37,21,1009,40,NIL,NIL,NIL,,,,,,,,
"['17:00', '09/01']",09/01 17:00,360,6,9999,2000,5,38,20,1009,35,NIL,NIL,NIL,,,,,,,,
"['18:00', '09/01']",09/01 18:00,240,3,9999,2000,5,38,20,1007,35,NIL,NIL,NIL,,,,,,,,
"['19:00', '09/01']",09/01 19:00,300,18,5000,2000,5,33,21,1007,49,NIL,1,28,,,,,,,,
"['19:20', '09/01']",09/01 19:20,290,10,5000,2000,5,32,20,1007,49,NIL,1,NIL,,,,,,,,
"['20:00', '09/01']",09/01 20:00,100,8,9999,10000,5,30,22,1006,62,NIL,1,NIL,,,,,,,,
"['21:00', '09/01']",09/01 21:00,160,12,9999,NIL,3,28,22,1007,70,NIL,1,NIL,,,,,,,,
"['22:00', '09/01']",09/01 22:00,180,9,9999,NIL,3,27,22,1009,74,NIL,1,19,,,,,,,,
"['23:00', '09/01']",09/01 23:00,230,2,9999,NIL,3,27,22,1010,74,NIL,1,NIL,,,,,,,,
"['00:00', '10/01']",10/01 00:00,190,4,9999,NIL,3,26,24,1010,89,1,1,NIL,,,,,,,,
"['01:00', '10/01']",10/01 01:00,250,4,9999,NIL,3,26,23,1010,84,NIL,1,,NIL,NIL,,,,,,
"['01:35', '10/01']",10/01 01:35,50,2,9999,NIL,2,25,24,1011,94,NIL,1,,NIL,NIL,,,,,,
"['02:00', '10/01']",10/01 02:00,20,1,9999,NIL,NIL,25,24,1011,94,NIL,NIL,,NIL,NIL,,,,,,
"['03:00', '10/01']",10/01 03:00,330,5,9999,NIL,NIL,26,24,1012,89,NIL,NIL,,NIL,NIL,,,,,,
"['04:00', '10/01']",10/01 04:00,310,3,9999,NIL,NIL,26,24,1011,89,NIL,NIL,,NIL,NIL,,,,,,
"['05:00', '10/01']",10/01 05:00,220,2,9999,NIL,NIL,26,24,1010,89,NIL,NIL,,NIL,NIL,,,,,,
"['06:00', '10/01']",10/01 06:00,100,1,9999,NIL,NIL,25,24,1010,94,NIL,NIL,,NIL,NIL,,,,,,
"['07:00', '10/01']",10/01 07:00,360,3,9999,NIL,NIL,26,23,1010,84,NIL,NIL,,NIL,NIL,,,,,,
"['08:00', '10/01']",10/01 08:00,330,3,9999,NIL,NIL,26,24,1010,89,NIL,NIL,,NIL,NIL,,,,,,
"['09:00', '10/01']",10/01 09:00,330,4,9999,NIL,NIL,25,23,1011,89,NIL,NIL,,NIL,NIL,,,,,,
"['10:00', '10/01']",10/01 10:00,310,5,8000,10000,5,25,23,1012,89,1,NIL,,NIL,NIL,,,,,,
"['10:47', '10/01']",10/01 10:47,160,4,9999,1100,5,25,24,1014,94,NIL,NIL,,NIL,NIL,,,,,,
"['11:00', '10/01']",10/01 11:00,140,5,9999,1100,5,25,24,1014,94,NIL,NIL,,NIL,NIL,,,,,,
"['12:00', '10/01']",10/01 12:00,110,5,9999,8000,5,25,24,1015,94,NIL,NIL,,NIL,NIL,,,,,,
"['13:00', '10/01']",10/01 13:00,160,5,9999,1500,5,27,24,1015,84,NIL,NIL,,NIL,NIL,,,,,,
"['13:47', '10/01']",10/01 13:47,170,4,9999,1200,5,27,23,1016,79,NIL,NIL,,NIL,NIL,,,,,,
"['14:00', '10/01']",10/01 14:00,140,4,9999,1200,5,27,24,1016,84,NIL,NIL,,NIL,NIL,,,,,,
"['15:00', '10/01']",10/01 15:00,190,5,4000,1200,5,26,24,1015,89,1,NIL,,NIL,NIL,,,,,,
"['16:00', '10/01']",10/01 16:00,200,6,8000,1000,5,25,24,1015,94,1,NIL,,3000,0,,,,,,
"['17:00', '10/01']",10/01 17:00,160,4,5000,1000,5,26,24,1014,89,1,NIL,,NIL,NIL,,,,,,
"['18:00', '10/01']",10/01 18:00,100,6,9999,9000,5,26,24,1012,89,NIL,NIL,,NIL,NIL,,,,,,
"['19:00', '10/01']",10/01 19:00,360,6,9999,8000,5,25,24,1011,94,NIL,NIL,,NIL,NIL,,,,,,
"['20:00', '10/01']",10/01 20:00,300,6,9999,NIL,2,27,24,1009,84,NIL,NIL,,NIL,NIL,,,,,,
"['21:00', '10/01']",10/01 21:00,320,8,9999,NIL,NIL,26,23,1008,84,NIL,NIL,,NIL,NIL,,,,,,
"['22:00', '10/01']",10/01 22:00,320,5,9999,NIL,NIL,26,23,1008,84,NIL,NIL,,NIL,NIL,,,,,,
"['23:00', '10/01']",10/01 23:00,260,2,9999,NIL,NIL,25,23,1009,89,NIL,NIL,,NIL,NIL,,,,,,
"['00:00', '11/01']",11/01 00:00,270,4,9999,NIL,NIL,25,23,1010,89,NIL,NIL,,NIL,NIL,,,,,,
"['01:00', '11/01']",11/01 01:00,110,2,9999,NIL,NIL,24,23,1012,94,NIL,NIL,,,,,,,,,
"['02:00', '11/01']",11/01 02:00,0,0,9999,NIL,NIL,24,23,1012,94,NIL,NIL,,,,,,,,,
"['03:00', '11/01']",11/01 03:00,310,3,9999,NIL,NIL,24,24,1012,100,NIL,NIL,,,,,,,,,
"['04:00', '11/01']",11/01 04:00,350,2,9999,NIL,NIL,24,23,1012,94,NIL,NIL,,,,,,,,,
"['05:00', '11/01']",11/01 05:00,340,2,9999,NIL,NIL,24,23,1011,94,NIL,NIL,,,,,,,,,
"['06:00', '11/01']",11/01 06:00,330,4,9999,NIL,3,24,23,1010,94,NIL,NIL,,,,,,,,,
"['07:00', '11/01']",11/01 07:00,320,2,9999,NIL,3,24,23,1010,94,NIL,NIL,,,,,,,,,
"['08:00', '11/01']",11/01 08:00,310,3,9999,10000,5,24,23,1010,94,NIL,NIL,,,,,,,,,
"['09:00', '11/01']",11/01 09:00,300,3,9999,10000,5,24,23,1011,94,NIL,NIL,,,,,,,,,
"['10:00', '11/01']",11/01 10:00,310,4,9999,NIL,3,24,23,1012,94,NIL,NIL,,,,,,,,,
"['11:00', '11/01']",11/01 11:00,310,5,9999,NIL,3,24,23,1012,94,NIL,NIL,,,,,,,,,
"['12:00', '11/01']",11/01 12:00,320,6,9999,NIL,NIL,26,24,1013,89,NIL,NIL,,,,,,,,,
"['13:00', '11/01']",11/01 13:00,310,7,9999,NIL,NIL,29,23,1013,70,NIL,NIL,,,,,,,,,
"['15:00', '11/01']",11/01 15:00,320,11,9999,NIL,3,31,23,1013,63,NIL,NIL,,,,,,,,,
"['16:00', '11/01']",11/01 16:00,320,12,9999,2000,5,33,23,1012,56,NIL,NIL,,,,,,,,,
"['17:00', '11/01']",11/01 17:00,280,11,9999,2000,5,33,23,1011,56,NIL,NIL,,,,,,,,,
"['18:00', '11/01']",11/01 18:00,250,8,9999,2000,5,33,22,1010,53,NIL,NIL,,,,,,,,,
"['19:00', '11/01']",11/01 19:00,270,8,9999,NIL,3,34,21,1008,47,NIL,NIL,,,,,,,,,
"['20:00', '11/01']",11/01 20:00,250,7,9999,NIL,3,34,22,1008,50,NIL,NIL,,,,,,,,,
"['21:00', '11/01']",11/01 21:00,300,3,9999,NIL,3,33,22,1008,53,NIL,NIL,,,,,,,,,
"['22:00', '11/01']",11/01 22:00,260,6,9999,2000,5,33,22,1008,53,NIL,NIL,,,,,,,,,
"['23:00', '11/01']",11/01 23:00,360,10,6000,2000,5,27,23,1009,79,1,1,,,,,,,,,
"['00:00', '12/01']",12/01 00:00,60,2,9999,NIL,3,26,23,1009,84,NIL,1,,,,,,,,,
"['01:00', '12/01']",12/01 01:00,10,5,9999,NIL,3,25,22,1010,83,,1,,,,,,,,,
"['02:00', '12/01']",12/01 02:00,310,4,9999,NIL,3,26,22,1011,79,,NIL,,,,,,,,,
"['03:00', '12/01']",12/01 03:00,280,8,9999,NIL,3,26,23,1011,84,,NIL,,,,,,,,,
"['04:00', '12/01']",12/01 04:00,270,6,9999,NIL,3,27,22,1010,74,,NIL,,,,,,,,,
"['05:00', '12/01']",12/01 05:00,300,5,9999,NIL,NIL,27,22,1010,74,,NIL,,,,,,,,,
"['06:00', '12/01']",12/01 06:00,280,6,9999,NIL,NIL,27,22,1010,74,,NIL,,,,,,,,,
"['07:00', '12/01']",12/01 07:00,270,6,9999,NIL,NIL,27,22,1010,74,,NIL,,,,,,,,,
