validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,pancada
"['18:00', '07/08']",07/08 18:00,110,14,NIL,9999,NIL,,NIL,3,27,19,1021,62,,NIL,
"['19:00', '07/08']",07/08 19:00,100,13,NIL,9999,NIL,,2000,5,26,20,1021,70,,NIL,
"['20:00', '07/08']",07/08 20:00,120,13,NIL,9999,NIL,,NIL,3,26,19,1020,65,,NIL,
"['21:00', '07/08']",07/08 21:00,100,19,NIL,9999,NIL,,1500,5,23,20,1021,83,,NIL,
"['22:00', '07/08']",07/08 22:00,VRB,5,NIL,9999,NIL,,6000,5,24,20,1021,78,,NIL,
"['23:00', '07/08']",07/08 23:00,110,7,110,9999,NIL,,6000,8,25,19,1022,69,,NIL,
"['00:00', '08/08']",08/08 00:00,120,5,110,8000,NIL,,2000,5,23,20,1022,83,,NIL,
"['01:00', '08/08']",08/08 01:00,80,5,NIL,9999,NIL,,1700,5,23,21,1022,89,,,
"['02:00', '08/08']",08/08 02:00,110,11,NIL,9999,NIL,,NIL,3,25,19,1022,69,,,
"['03:00', '08/08']",08/08 03:00,110,9,120,9999,NIL,,6000,5,24,20,1021,78,,,
"['04:00', '08/08']",08/08 04:00,120,12,NIL,9999,NIL,,6000,5,24,20,1021,78,,,
"['05:00', '08/08']",08/08 05:00,110,10,NIL,9999,NIL,,NIL,3,24,20,1020,78,,,
"['06:00', '08/08']",08/08 06:00,120,12,125,9999,NIL,,6000,5,23,19,1020,78,,,
"['07:00', '08/08']",08/08 07:00,110,14,NIL,5000,1,,1700,5,23,20,1020,83,,,
"['08:00', '08/08']",08/08 08:00,110,7,NIL,9999,NIL,,6000,5,24,21,1020,83,,,
"['09:00', '08/08']",08/08 09:00,110,9,NIL,8000,NIL,,NIL,3,24,20,1020,78,,,
"['10:00', '08/08']",08/08 10:00,110,12,NIL,9999,NIL,,NIL,3,25,20,1020,74,,,
"['11:00', '08/08']",08/08 11:00,100,12,NIL,9999,NIL,,2000,5,26,20,1021,70,,,
"['12:00', '08/08']",08/08 12:00,90,11,NIL,9999,NIL,,NIL,3,25,21,1022,79,,,
"['13:00', '08/08']",08/08 13:00,100,13,NIL,9999,NIL,,NIL,3,27,21,1022,70,,,
"['14:00', '08/08']",08/08 14:00,100,14,NIL,9999,NIL,,NIL,3,27,20,1022,66,,,
"['15:00', '08/08']",08/08 15:00,90,14,NIL,9999,NIL,,NIL,3,27,20,1022,66,,,
"['16:00', '08/08']",08/08 16:00,110,13,NIL,9999,NIL,,NIL,3,27,19,1021,62,,,
"['17:00', '08/08']",08/08 17:00,120,12,NIL,9999,NIL,,NIL,3,28,19,1020,58,,,
"['18:00', '08/08']",08/08 18:00,110,10,NIL,9999,NIL,,NIL,3,27,20,1020,66,,,
"['19:00', '08/08']",08/08 19:00,120,7,125,9999,NIL,,NIL,3,27,20,1020,66,,,
"['20:00', '08/08']",08/08 20:00,120,9,120,9999,NIL,,NIL,3,26,20,1020,70,,,
"['21:00', '08/08']",08/08 21:00,140,9,NIL,9999,NIL,,7000,5,25,21,1020,79,,,
"['22:00', '08/08']",08/08 22:00,110,14,115,9999,NIL,,2000,5,24,19,1020,74,,,
"['23:00', '08/08']",08/08 23:00,170,11,NIL,9999,NIL,,2000,5,25,22,1021,83,,,
"['00:00', '09/08']",09/08 00:00,150,12,NIL,9999,NIL,,6000,5,25,20,1021,74,,,
"['01:00', '09/08']",09/08 01:00,140,9,NIL,9999,NIL,,7000,5,25,20,1021,74,,NIL,NIL
"['02:00', '09/08']",09/08 02:00,130,10,NIL,8000,NIL,,2000,5,24,21,1021,83,,NIL,NIL
"['03:00', '09/08']",09/08 03:00,160,6,NIL,9999,NIL,,6000,5,24,21,1020,83,,NIL,NIL
"['04:00', '09/08']",09/08 04:00,90,13,NIL,8000,NIL,,1700,5,23,21,1020,89,,NIL,NIL
"['05:00', '09/08']",09/08 05:00,120,8,NIL,9999,NIL,,1700,5,24,21,1019,83,,NIL,NIL
"['06:00', '09/08']",09/08 06:00,150,12,NIL,9999,NIL,,6000,5,23,21,1019,89,,NIL,NIL
