validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,cobertura,tt,po,qnh,ur,teto,chuva,pancada,nevoa_umida,vis_setor,vis_setor_dir,trovoada,vnt_rajada,nevoa_seca,chuvisco
"['08:00', '20/03']",20/03 08:00,200,4,205,9999,5,24,21,1012,83,2300,,,,NIL,NIL,,,,
"['09:00', '20/03']",20/03 09:00,230,4,230,9999,3,24,21,1012,83,NIL,,,,NIL,NIL,,,,
"['10:00', '20/03']",20/03 10:00,210,4,210,9999,5,24,21,1013,83,2500,,,,NIL,NIL,,,,
"['11:00', '20/03']",20/03 11:00,160,6,170,9999,3,27,21,1013,70,NIL,,,,NIL,NIL,,,,
"['12:00', '20/03']",20/03 12:00,70,6,70,9999,3,28,21,1013,66,NIL,,,,4000,315,,,,
"['13:00', '20/03']",20/03 13:00,110,10,115,9999,3,28,21,1013,66,NIL,,,,NIL,NIL,,,,
"['14:00', '20/03']",20/03 14:00,140,12,130,9999,3,28,21,1013,66,NIL,,,,NIL,NIL,,,,
"['15:00', '20/03']",20/03 15:00,130,10,125,9999,3,28,21,1013,66,NIL,,,,NIL,NIL,,,,
"['16:00', '20/03']",20/03 16:00,120,11,NIL,9999,3,29,20,1012,58,NIL,,,,NIL,NIL,,,,
"['17:00', '20/03']",20/03 17:00,130,15,NIL,9999,3,29,21,1012,62,NIL,,,,NIL,NIL,,,,
"['18:00', '20/03']",20/03 18:00,150,11,NIL,9999,3,28,20,1011,62,NIL,,,,NIL,NIL,,,,
"['19:00', '20/03']",20/03 19:00,140,11,NIL,9999,3,27,20,1011,66,NIL,,,,NIL,NIL,,,,
"['20:00', '20/03']",20/03 20:00,140,10,NIL,9999,3,27,20,1012,66,NIL,,,,NIL,NIL,,,,
"['21:00', '20/03']",20/03 21:00,150,10,125,9999,2,27,20,1012,66,NIL,,,,NIL,NIL,,,,
"['22:00', '20/03']",20/03 22:00,140,11,NIL,9999,3,27,20,1013,66,NIL,,,,NIL,NIL,,,,
"['23:00', '20/03']",20/03 23:00,150,11,NIL,9999,3,26,20,1013,70,NIL,,,,NIL,NIL,,,,
"['00:00', '21/03']",21/03 00:00,140,11,NIL,9999,3,26,21,1014,74,NIL,,,,NIL,NIL,,,,
"['01:00', '21/03']",21/03 01:00,170,6,NIL,9999,3,25,19,1014,69,,NIL,,,NIL,NIL,,,,
"['02:00', '21/03']",21/03 02:00,190,7,195,9999,3,25,20,1014,74,,NIL,,,NIL,NIL,,,,
"['03:00', '21/03']",21/03 03:00,200,5,NIL,9999,3,25,20,1013,74,,NIL,,,NIL,NIL,,,,
"['04:00', '21/03']",21/03 04:00,190,5,NIL,9999,3,25,20,1013,74,,NIL,,,NIL,NIL,,,,
"['05:00', '21/03']",21/03 05:00,210,4,NIL,9999,3,24,20,1012,78,,NIL,,,NIL,NIL,,,,
"['06:00', '21/03']",21/03 06:00,210,3,NIL,9999,3,24,20,1012,78,,NIL,,,NIL,NIL,,,,
"['07:00', '21/03']",21/03 07:00,100,4,105,6000,3,23,21,1012,89,,1,,,2500,45,,,,
"['08:00', '21/03']",21/03 08:00,0,0,NIL,9999,3,22,21,1012,94,,NIL,,,NIL,NIL,,,,
"['09:00', '21/03']",21/03 09:00,VRB,2,NIL,9999,3,23,21,1012,89,,NIL,,,NIL,NIL,,,,
"['10:00', '21/03']",21/03 10:00,200,4,205,9999,3,24,21,1013,83,,NIL,,,NIL,NIL,,,,
"['11:00', '21/03']",21/03 11:00,210,7,NIL,9999,3,25,21,1013,79,,NIL,,,NIL,NIL,,,,
"['12:00', '21/03']",21/03 12:00,180,7,NIL,9999,3,27,21,1013,70,,NIL,,,NIL,NIL,,,,
"['13:00', '21/03']",21/03 13:00,140,7,NIL,9999,3,28,20,1013,62,,NIL,,,NIL,NIL,,,,
"['14:00', '21/03']",21/03 14:00,140,9,NIL,9999,3,29,19,1013,55,,NIL,,,NIL,NIL,,,,
"['15:00', '21/03']",21/03 15:00,140,8,NIL,9999,3,28,21,1012,66,,NIL,,,NIL,NIL,,,,
"['16:00', '21/03']",21/03 16:00,120,7,NIL,9999,3,29,20,1012,58,,NIL,,,NIL,NIL,,,,
"['17:00', '21/03']",21/03 17:00,120,8,NIL,9999,3,28,20,1011,62,,NIL,,,NIL,NIL,,,,
"['18:00', '21/03']",21/03 18:00,130,8,NIL,9999,3,28,20,1011,62,,NIL,,,NIL,NIL,,,,
