validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['05:00', '20/06']",20/06 05:00,90,7,9999,NIL,,NIL,NIL,17,16,1024,94,,,,,,,,
"['06:00', '20/06']",20/06 06:00,140,3,9999,NIL,,NIL,NIL,17,17,1023,100,,,,,,,,
"['07:00', '20/06']",20/06 07:00,130,4,9999,NIL,,NIL,NIL,17,16,1023,94,,,,,,,,
"['08:00', '20/06']",20/06 08:00,110,3,9999,NIL,,NIL,NIL,17,16,1023,94,,,,,,,,
"['09:00', '20/06']",20/06 09:00,150,2,9999,NIL,,NIL,NIL,18,17,1024,94,,,,,,,,
"['10:00', '20/06']",20/06 10:00,70,3,7000,1,,3000,5,18,17,1025,94,,,,,,,,
"['11:00', '20/06']",20/06 11:00,160,3,7000,1,,2500,5,18,18,1026,100,,,,,,,,
"['12:00', '20/06']",20/06 12:00,150,4,9999,NIL,,NIL,3,19,18,1027,94,,,,,,,,
"['13:00', '20/06']",20/06 13:00,100,5,9999,NIL,,3000,5,21,18,1027,83,,,,,,,,
"['14:00', '20/06']",20/06 14:00,20,7,9999,NIL,,3000,5,22,17,1026,73,,,,,,,,
"['15:00', '20/06']",20/06 15:00,10,7,9999,NIL,,2500,5,23,17,1026,69,,,,,,,,
"['16:00', '20/06']",20/06 16:00,30,8,9999,NIL,,3000,5,24,16,1025,61,,,,,,,,
"['17:00', '20/06']",20/06 17:00,40,7,9999,NIL,,3000,5,25,15,1025,54,,,,,,,,
"['18:00', '20/06']",20/06 18:00,360,7,9999,NIL,,NIL,3,25,14,1023,50,,,,,,,,
"['19:00', '20/06']",20/06 19:00,10,5,9999,NIL,,NIL,2,25,12,1023,44,,,,,,,,
"['20:00', '20/06']",20/06 20:00,40,7,9999,NIL,,NIL,NIL,24,13,1023,50,,,,,,,,
"['21:00', '20/06']",20/06 21:00,30,5,9999,NIL,,NIL,NIL,22,13,1024,57,,,,,,,,
"['22:00', '20/06']",20/06 22:00,50,5,9999,NIL,,NIL,NIL,21,13,1024,60,,,,,,,,
"['23:00', '20/06']",20/06 23:00,60,5,9999,NIL,,NIL,NIL,20,14,1024,68,,,,,,,,
"['00:00', '21/06']",21/06 00:00,80,4,9999,NIL,,NIL,NIL,19,14,1024,73,,,,,,,,
"['01:00', '21/06']",21/06 01:00,120,2,9999,,,,NIL,18,14,1024,77,,,,,,,,
"['02:00', '21/06']",21/06 02:00,80,8,9999,,,,NIL,18,14,1025,77,,,,,,,,
"['03:00', '21/06']",21/06 03:00,80,4,9999,,,,NIL,17,14,1025,83,,,,,,,,
"['04:00', '21/06']",21/06 04:00,50,8,9999,,,,NIL,17,15,1025,88,,,,,,,,
"['05:00', '21/06']",21/06 05:00,90,5,9999,,,,NIL,16,14,1024,88,,,,,,,,
"['06:00', '21/06']",21/06 06:00,90,6,9999,,,,NIL,16,14,1024,88,,,,,,,,
"['07:00', '21/06']",21/06 07:00,100,3,9999,,,,NIL,15,14,1023,94,,,,,,,,
"['08:00', '21/06']",21/06 08:00,130,6,9999,,,,NIL,15,14,1023,94,,,,,,,,
"['09:00', '21/06']",21/06 09:00,110,3,9999,,,,NIL,15,14,1023,94,,,,,,,,
"['10:00', '21/06']",21/06 10:00,100,5,9999,,,,NIL,15,14,1023,94,,,,,,,,
"['11:00', '21/06']",21/06 11:00,100,7,9999,,,,NIL,17,14,1023,83,,,,,,,,
"['12:00', '21/06']",21/06 12:00,140,3,9999,,,,NIL,17,15,1025,88,,,,,,,,
"['13:00', '21/06']",21/06 13:00,90,5,9999,,,,NIL,20,14,1025,68,,,,,,,,
"['14:00', '21/06']",21/06 14:00,50,8,9999,,,,2,22,13,1025,57,,,,,,,,
"['15:00', '21/06']",21/06 15:00,80,8,9999,,,,2,23,14,1024,57,,,,,,,,
"['16:00', '21/06']",21/06 16:00,50,8,9999,,,,2,24,13,1024,50,,,,,,,,
"['17:00', '21/06']",21/06 17:00,30,8,9999,,,,2,24,12,1023,47,,,,,,,,
"['18:00', '21/06']",21/06 18:00,20,8,9999,,,,2,24,12,1023,47,,,,,,,,
"['19:00', '21/06']",21/06 19:00,20,7,9999,,,,2,24,13,1023,50,,,,,,,,
