validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,vis_setor,vis_setor_dir,vnt_rajada,nevoeiro,trovoada,chuvisco,nevoa_umida
"['04:00', '28/08']",28/08 04:00,160,1,NIL,9999,10000,5,28,24,1011,79,,,,,,,NIL,,
"['05:00', '28/08']",28/08 05:00,280,2,NIL,9999,10000,5,27,24,1010,84,,,,,,,NIL,,
"['06:00', '28/08']",28/08 06:00,0,0,NIL,9999,NIL,NIL,26,25,1009,94,,,,,,,NIL,,
"['07:00', '28/08']",28/08 07:00,290,2,NIL,9999,NIL,NIL,26,24,1009,89,,,,,,,NIL,,
"['08:00', '28/08']",28/08 08:00,0,0,NIL,9999,NIL,NIL,26,25,1010,94,,,,,,,NIL,,
"['09:00', '28/08']",28/08 09:00,0,0,NIL,9999,NIL,NIL,25,24,1010,94,,,,,,,NIL,,
"['10:00', '28/08']",28/08 10:00,0,0,NIL,9999,NIL,NIL,25,24,1011,94,,,,,,,NIL,,
"['11:00', '28/08']",28/08 11:00,300,2,NIL,9999,NIL,3,25,24,1012,94,,,,,,,NIL,,
"['12:00', '28/08']",28/08 12:00,280,2,NIL,9999,NIL,3,27,25,1012,89,,,,,,,NIL,,
"['13:00', '28/08']",28/08 13:00,0,0,NIL,9999,NIL,2,30,24,1013,70,,,,,,,NIL,,
"['14:00', '28/08']",28/08 14:00,360,4,NIL,9999,NIL,3,31,24,1013,66,,,,,,,NIL,,
"['15:00', '28/08']",28/08 15:00,180,7,NIL,9999,3000,5,30,25,1013,75,,,,,,,NIL,,
"['16:00', '28/08']",28/08 16:00,150,4,NIL,9999,NIL,3,31,25,1011,71,,,,,,,NIL,,
"['17:00', '28/08']",28/08 17:00,220,2,NIL,9999,NIL,3,31,25,1010,71,,,,,,,NIL,,
"['18:00', '28/08']",28/08 18:00,110,7,110,9999,NIL,3,28,22,1011,70,,,,,,,1,,
"['19:00', '28/08']",28/08 19:00,200,2,NIL,9999,8000,5,27,23,1011,79,,,,,,,1,,
"['20:00', '28/08']",28/08 20:00,20,5,NIL,9999,8000,5,28,24,1010,79,,,,,,,NIL,,
"['21:00', '28/08']",28/08 21:00,350,4,NIL,9999,10000,5,27,23,1010,79,,,,,,,NIL,,
"['22:00', '28/08']",28/08 22:00,10,2,NIL,9999,10000,5,26,23,1010,84,,,,,,,NIL,,
"['23:00', '28/08']",28/08 23:00,360,2,NIL,9999,NIL,NIL,26,23,1011,84,,,,,,,NIL,,
"['00:00', '29/08']",29/08 00:00,280,2,NIL,9999,NIL,NIL,25,23,1011,89,,,,,,,NIL,,
"['01:00', '29/08']",29/08 01:00,300,3,,9999,NIL,NIL,24,23,1012,94,,,,,,NIL,,,
"['02:00', '29/08']",29/08 02:00,250,2,,9999,NIL,NIL,24,23,1013,94,,,,,,NIL,,,
"['03:00', '29/08']",29/08 03:00,0,0,,9999,NIL,2,24,23,1013,94,,,,,,NIL,,,
"['04:00', '29/08']",29/08 04:00,0,0,,9999,NIL,2,24,23,1013,94,,,,,,NIL,,,
"['05:00', '29/08']",29/08 05:00,310,1,,9999,NIL,3,23,23,1012,100,,,,,,NIL,,,
"['06:00', '29/08']",29/08 06:00,300,2,,9999,700,5,23,23,1012,100,,,,,,NIL,,,
"['07:00', '29/08']",29/08 07:00,300,3,,9999,NIL,3,23,23,1012,100,,,,,,NIL,,,
"['08:00', '29/08']",29/08 08:00,0,0,,800,200,5,24,23,1012,94,,,,,,1,,,
"['09:00', '29/08']",29/08 09:00,0,0,,800,200,5,24,23,1012,94,,,,,,1,,,
"['10:00', '29/08']",29/08 10:00,340,2,,400,200,5,24,24,1013,100,,,,,,1,,,
"['11:00', '29/08']",29/08 11:00,160,2,,100,200,8,24,24,1013,100,,,,,,1,,,
"['11:12', '29/08']",29/08 11:12,0,0,,900,200,5,24,24,1014,100,,,,,,1,,,
"['11:23', '29/08']",29/08 11:23,340,1,,2000,500,5,24,24,1014,100,,,,,,1,,,
"['12:00', '29/08']",29/08 12:00,350,2,,9999,500,5,26,25,1014,94,,,,,,NIL,,,
"['13:00', '29/08']",29/08 13:00,300,3,,9999,700,5,27,25,1015,89,,,,,,NIL,,,
"['13:24', '29/08']",29/08 13:24,310,5,,9999,1500,5,28,25,1015,84,,,,,,NIL,,,
"['14:00', '29/08']",29/08 14:00,300,6,,9999,1500,5,28,25,1015,84,,,,,,NIL,,,
"['15:00', '29/08']",29/08 15:00,300,4,,9999,1800,5,28,25,1014,84,,,,,,NIL,,,
"['16:00', '29/08']",29/08 16:00,240,3,,9999,2000,5,30,25,1013,75,,,,,,NIL,,,
