validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,chuva,teto,trovoada,nevoa_umida,vnt_vrb,pancada,nevoa_seca,chuvisco,vnt_rajada,nevoeiro
"['02:00', '16/02']",16/02 02:00,270,10,9999,NIL,27,23,1012,79,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['03:00', '16/02']",16/02 03:00,260,7,9999,NIL,26,23,1012,84,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['04:00', '16/02']",16/02 04:00,290,5,9999,NIL,26,23,1011,84,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['05:00', '16/02']",16/02 05:00,270,5,9999,NIL,25,23,1011,89,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['06:00', '16/02']",16/02 06:00,270,4,9999,3,25,23,1010,89,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['07:00', '16/02']",16/02 07:00,280,5,9999,3,25,23,1010,89,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['08:00', '16/02']",16/02 08:00,260,4,9999,5,25,23,1011,89,,,NIL,1000,NIL,NIL,NIL,,,,,
"['09:00', '16/02']",16/02 09:00,100,4,9999,5,25,23,1011,89,,,NIL,1200,NIL,NIL,NIL,,,,,
"['10:00', '16/02']",16/02 10:00,10,5,7000,5,25,23,1012,89,,,NIL,1000,NIL,NIL,NIL,,,,,
"['11:00', '16/02']",16/02 11:00,110,5,6000,5,27,23,1012,79,,,NIL,900,NIL,NIL,NIL,,,,,
"['12:00', '16/02']",16/02 12:00,40,9,6000,3,28,23,1012,74,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['13:00', '16/02']",16/02 13:00,150,7,6000,2,29,24,1012,74,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['14:00', '16/02']",16/02 14:00,140,9,7000,2,31,24,1012,66,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['15:00', '16/02']",16/02 15:00,140,6,7000,NIL,31,24,1011,66,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['16:00', '16/02']",16/02 16:00,120,9,9000,NIL,32,24,1010,63,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['17:00', '16/02']",16/02 17:00,140,6,9999,2,33,23,1010,56,,,NIL,NIL,NIL,NIL,140,,,,,
"['18:00', '16/02']",16/02 18:00,140,7,9999,2,34,25,1009,60,,,NIL,NIL,NIL,NIL,135,,,,,
"['19:00', '16/02']",16/02 19:00,130,8,9999,2,32,24,1009,63,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['20:00', '16/02']",16/02 20:00,140,8,9999,2,31,24,1009,66,,,NIL,NIL,NIL,NIL,NIL,,,,,
"['20:40', '16/02']",16/02 20:40,150,8,9999,3,32,23,1009,59,,,NIL,NIL,1,NIL,NIL,,,,,
"['21:00', '16/02']",16/02 21:00,280,13,9999,5,30,24,1010,70,,,NIL,7000,1,NIL,NIL,,,,,
"['22:00', '16/02']",16/02 22:00,330,12,2000,8,26,22,1012,79,,,1,2000,1,1,NIL,,,,,
"['22:19', '16/02']",16/02 22:19,320,13,6000,8,24,23,1012,94,,,1,1400,1,NIL,NIL,,,,,
