validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,nevoeiro,pancada,nevoa_seca,chuvisco,fumaca
"['15:00', '30/11']",30/11 15:00,10,9,190,9999,NIL,NIL,NIL,3,32,17,1016,41,NIL,NIL,NIL,,,,,,
"['16:00', '30/11']",30/11 16:00,360,11,NIL,9999,NIL,NIL,7000,5,31,16,1015,40,NIL,NIL,NIL,,,,,,
"['17:00', '30/11']",30/11 17:00,340,10,165,9999,NIL,NIL,6000,5,33,16,1014,36,NIL,NIL,NIL,,,,,,
"['18:00', '30/11']",30/11 18:00,310,16,NIL,9999,NIL,NIL,6000,5,32,18,1014,43,NIL,NIL,NIL,,,,,,
"['18:15', '30/11']",30/11 18:15,250,21,NIL,9999,NIL,NIL,6000,5,26,19,1014,65,31,NIL,NIL,,,,,,
"['18:40', '30/11']",30/11 18:40,210,17,NIL,9999,1,1,6000,5,24,20,1014,78,NIL,NIL,NIL,,,,,,
"['19:00', '30/11']",30/11 19:00,200,15,NIL,9999,1,1,6000,5,24,20,1014,78,NIL,4000,180,,,,,,
"['19:25', '30/11']",30/11 19:25,190,13,NIL,9999,NIL,1,10000,5,24,18,1014,69,NIL,NIL,NIL,,,,,,
"['20:00', '30/11']",30/11 20:00,170,13,NIL,9999,NIL,1,10000,5,24,18,1015,69,NIL,NIL,NIL,,,,,,
"['21:00', '30/11']",30/11 21:00,130,11,NIL,9999,NIL,NIL,NIL,2,23,20,1015,83,NIL,NIL,NIL,,,,,,
"['22:00', '30/11']",30/11 22:00,110,10,NIL,9999,NIL,NIL,NIL,2,22,19,1015,83,NIL,NIL,NIL,,,,,,
"['23:00', '30/11']",30/11 23:00,110,3,110,9999,NIL,NIL,7000,5,23,18,1016,73,NIL,NIL,NIL,,,,,,
"['00:00', '01/12']",01/12 00:00,300,5,295,9999,NIL,NIL,2500,8,23,19,1018,78,NIL,NIL,NIL,,,,,,
"['01:00', '01/12']",01/12 01:00,280,7,NIL,9999,1,,2300,8,22,19,1019,83,,4500,180,NIL,,,,,
"['02:00', '01/12']",01/12 02:00,40,7,NIL,8000,1,,7000,8,21,20,1018,94,,NIL,NIL,NIL,,,,,
"['03:00', '01/12']",01/12 03:00,70,4,NIL,9999,1,,8000,8,21,20,1016,94,,NIL,NIL,NIL,,,,,
"['04:00', '01/12']",01/12 04:00,70,5,NIL,9999,NIL,,7000,5,21,20,1015,94,,NIL,NIL,NIL,,,,,
"['05:00', '01/12']",01/12 05:00,110,4,NIL,9999,NIL,,7000,8,21,20,1014,94,,NIL,NIL,NIL,,,,,
"['06:00', '01/12']",01/12 06:00,0,0,NIL,9999,NIL,,7000,5,21,20,1014,94,,NIL,NIL,NIL,,,,,
"['07:00', '01/12']",01/12 07:00,290,3,NIL,9999,NIL,,7000,5,21,20,1015,94,,NIL,NIL,NIL,,,,,
"['08:00', '01/12']",01/12 08:00,100,4,NIL,8000,NIL,,7000,5,21,20,1014,94,,NIL,NIL,NIL,,,,,
"['08:25', '01/12']",01/12 08:25,360,4,NIL,4000,NIL,,8000,5,21,20,1015,94,,NIL,NIL,1,,,,,
"['09:00', '01/12']",01/12 09:00,0,0,NIL,5000,NIL,,8000,5,21,20,1015,94,,NIL,NIL,1,,,,,
"['10:00', '01/12']",01/12 10:00,10,5,NIL,8000,NIL,,10000,5,22,19,1016,83,,NIL,NIL,NIL,,,,,
"['11:00', '01/12']",01/12 11:00,350,3,160,9999,NIL,,NIL,2,23,19,1016,78,,NIL,NIL,NIL,,,,,
"['12:00', '01/12']",01/12 12:00,VRB,2,NIL,9999,NIL,,NIL,2,25,19,1016,69,,NIL,NIL,NIL,,,,,
"['13:00', '01/12']",01/12 13:00,VRB,2,NIL,9999,NIL,,NIL,2,27,18,1016,58,,NIL,NIL,NIL,,,,,
"['14:00', '01/12']",01/12 14:00,VRB,3,NIL,9999,NIL,,NIL,3,28,19,1016,58,,NIL,NIL,NIL,,,,,
"['15:00', '01/12']",01/12 15:00,230,6,230,9999,NIL,,NIL,2,29,18,1016,52,,NIL,NIL,NIL,,,,,
"['16:00', '01/12']",01/12 16:00,VRB,5,NIL,9999,NIL,,NIL,2,29,18,1015,52,,NIL,NIL,NIL,,,,,
"['17:00', '01/12']",01/12 17:00,VRB,6,NIL,9999,NIL,,NIL,2,30,18,1014,49,,NIL,NIL,NIL,,,,,
"['18:00', '01/12']",01/12 18:00,230,7,240,9999,NIL,,NIL,2,30,18,1013,49,,NIL,NIL,NIL,,,,,
"['19:00', '01/12']",01/12 19:00,270,7,250,9999,NIL,,NIL,3,31,18,1012,46,,NIL,NIL,NIL,,,,,
"['20:00', '01/12']",01/12 20:00,250,8,255,9999,NIL,,NIL,3,31,18,1012,46,,NIL,NIL,NIL,,,,,
"['21:00', '01/12']",01/12 21:00,130,17,NIL,9999,NIL,,NIL,2,26,19,1013,65,,NIL,NIL,NIL,,,,,
"['22:00', '01/12']",01/12 22:00,130,17,NIL,9999,NIL,,NIL,NIL,24,20,1013,78,,NIL,NIL,NIL,,,,,
"['23:00', '01/12']",01/12 23:00,130,16,NIL,9999,NIL,,NIL,NIL,23,19,1014,78,,NIL,NIL,NIL,,,,,
"['00:00', '02/12']",02/12 00:00,130,13,NIL,9999,NIL,,NIL,2,23,19,1015,78,,NIL,NIL,NIL,,,,,
"['01:00', '02/12']",02/12 01:00,130,12,NIL,9999,NIL,,NIL,3,23,19,1015,78,,NIL,NIL,,,,,,
"['02:00', '02/12']",02/12 02:00,130,11,NIL,9999,NIL,,NIL,NIL,23,19,1015,78,,NIL,NIL,,,,,,
"['03:00', '02/12']",02/12 03:00,130,10,NIL,9999,NIL,,NIL,2,22,19,1015,83,,NIL,NIL,,,,,,
"['04:00', '02/12']",02/12 04:00,120,11,NIL,9999,NIL,,NIL,2,22,19,1014,83,,NIL,NIL,,,,,,
