validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuva,nevoa_umida,trovoada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro,chuvisco,pancada
"['19:00', '20/02']",20/02 19:00,170,10,NIL,9999,10000,5,27,13,1013,42,,,,1,,,,,,
"['20:00', '20/02']",20/02 20:00,90,11,NIL,9999,NIL,3,28,19,1013,58,,,,NIL,,,,,,
"['21:00', '20/02']",20/02 21:00,130,9,125,9999,NIL,NIL,27,20,1013,66,,,,NIL,,,,,,
"['22:00', '20/02']",20/02 22:00,120,11,NIL,9999,NIL,3,26,20,1014,70,,,,NIL,,,,,,
"['23:00', '20/02']",20/02 23:00,110,11,NIL,9999,10000,5,25,21,1014,79,,,,NIL,,,,,,
"['00:00', '21/02']",21/02 00:00,120,11,NIL,9999,NIL,NIL,24,22,1015,89,,,,NIL,,,,,,
"['01:00', '21/02']",21/02 01:00,120,9,NIL,9999,,NIL,24,22,1015,89,,,,,,,,,,
"['02:00', '21/02']",21/02 02:00,120,10,120,9999,,NIL,24,22,1015,89,,,,,,,,,,
"['03:00', '21/02']",21/02 03:00,110,7,NIL,9999,,NIL,23,23,1015,100,,,,,,,,,,
"['04:00', '21/02']",21/02 04:00,120,9,NIL,9999,,NIL,23,23,1015,100,,,,,,,,,,
"['05:00', '21/02']",21/02 05:00,110,6,NIL,9999,,NIL,23,23,1014,100,,,,,,,,,,
"['06:00', '21/02']",21/02 06:00,110,5,NIL,9999,,NIL,22,22,1014,100,,,,,,,,,,
"['08:00', '21/02']",21/02 08:00,60,2,NIL,9999,,NIL,21,21,1014,100,,,,,,,,,,
"['09:00', '21/02']",21/02 09:00,80,4,NIL,6000,,NIL,21,21,1015,100,,,,,,,,,,
"['10:00', '21/02']",21/02 10:00,50,3,NIL,8000,,2,21,21,1015,100,,,,,,,,,,
"['11:00', '21/02']",21/02 11:00,VRB,1,NIL,9999,,NIL,23,23,1016,100,,,,,,,,,,
"['12:00', '21/02']",21/02 12:00,VRB,2,NIL,9999,,NIL,26,19,1016,65,,,,,,,,,,
"['14:00', '21/02']",21/02 14:00,100,5,105,9999,,NIL,29,18,1016,52,,,,,,,,,,
"['15:00', '21/02']",21/02 15:00,100,5,130,9999,,2,30,16,1016,43,,,,,,,,,,
"['16:00', '21/02']",21/02 16:00,VRB,7,NIL,9999,,2,31,16,1015,40,,,,,,,,,,
"['17:00', '21/02']",21/02 17:00,VRB,3,NIL,9999,,3,31,15,1014,38,,,,,,,,,,
"['18:00', '21/02']",21/02 18:00,130,7,130,9999,,3,31,18,1014,46,,,,,,,,,,
"['19:00', '21/02']",21/02 19:00,120,12,115,9999,,3,31,19,1013,49,,,,,,,,,,
"['20:00', '21/02']",21/02 20:00,120,15,NIL,9999,,2,29,19,1013,55,,,,,,,,,,
"['21:00', '21/02']",21/02 21:00,120,15,NIL,9999,,2,28,19,1013,58,,,,,,,,,,
"['22:00', '21/02']",21/02 22:00,110,16,NIL,9999,,2,26,20,1013,70,,,,,,,,,,
"['23:00', '21/02']",21/02 23:00,110,14,NIL,9999,,NIL,25,20,1014,74,,,,,,,,,,
"['00:00', '22/02']",22/02 00:00,100,15,NIL,9999,,NIL,24,21,1014,83,,,,,,,,,,
"['01:00', '22/02']",22/02 01:00,100,14,NIL,9999,NIL,NIL,24,21,1014,83,,,,,,,,,,
"['02:00', '22/02']",22/02 02:00,100,13,NIL,9999,NIL,NIL,24,21,1014,83,,,,,,,,,,
"['03:00', '22/02']",22/02 03:00,110,11,NIL,9999,NIL,NIL,24,21,1014,83,,,,,,,,,,
"['04:00', '22/02']",22/02 04:00,100,10,NIL,9999,NIL,NIL,24,20,1013,78,,,,,,,,,,
"['05:00', '22/02']",22/02 05:00,100,6,NIL,9999,NIL,NIL,23,20,1013,83,,,,,,,,,,
"['06:00', '22/02']",22/02 06:00,140,3,140,9999,NIL,NIL,23,20,1012,83,,,,,,,,,,
"['07:00', '22/02']",22/02 07:00,110,5,NIL,9999,NIL,NIL,23,19,1012,78,,,,,,,,,,
"['08:00', '22/02']",22/02 08:00,60,4,NIL,9999,NIL,NIL,22,20,1012,88,,,,,,,,,,
"['09:00', '22/02']",22/02 09:00,90,3,NIL,9999,NIL,NIL,21,21,1012,100,,,,,,,,,,
"['10:00', '22/02']",22/02 10:00,80,3,NIL,9999,NIL,NIL,22,22,1013,100,,,,,,,,,,
"['11:00', '22/02']",22/02 11:00,80,5,NIL,9999,NIL,NIL,25,18,1013,65,,,,,,,,,,
"['12:00', '22/02']",22/02 12:00,80,4,90,9999,NIL,NIL,27,18,1013,58,,,,,,,,,,
"['13:00', '22/02']",22/02 13:00,VRB,3,NIL,9999,NIL,NIL,29,18,1013,52,,,,,,,,,,
"['14:00', '22/02']",22/02 14:00,VRB,4,NIL,9999,NIL,NIL,30,18,1013,49,,,,,,,,,,
"['15:00', '22/02']",22/02 15:00,VRB,3,NIL,9999,NIL,NIL,31,18,1012,46,,,,,,,,,,
"['16:00', '22/02']",22/02 16:00,VRB,6,NIL,9999,NIL,2,33,17,1011,39,,,,,,,,,,
"['17:00', '22/02']",22/02 17:00,270,6,265,9999,NIL,NIL,33,18,1010,41,,,,,,,,,,
"['18:00', '22/02']",22/02 18:00,VRB,6,NIL,9999,NIL,NIL,34,18,1009,39,,,,,,,,,,
"['19:00', '22/02']",22/02 19:00,VRB,4,NIL,9999,NIL,2,34,19,1008,41,,,,,,,,,,
"['20:00', '22/02']",22/02 20:00,230,5,235,9999,NIL,2,34,19,1008,41,,,,,,,,,,
"['21:00', '22/02']",22/02 21:00,250,3,240,9999,8000,5,33,19,1008,44,,,,,,,,,,
"['22:00', '22/02']",22/02 22:00,200,3,210,9999,10000,5,30,22,1008,62,,,,,,,,,,
"['23:00', '22/02']",22/02 23:00,80,6,NIL,9999,NIL,3,29,23,1008,70,,,,,,,,,,
"['00:00', '23/02']",23/02 00:00,340,3,170,9999,NIL,NIL,29,19,1009,55,,,,,,,,,,
"['01:00', '23/02']",23/02 01:00,280,3,300,9999,NIL,NIL,27,19,1009,62,,NIL,NIL,NIL,,,,,,
"['02:00', '23/02']",23/02 02:00,300,4,NIL,9999,NIL,NIL,27,18,1009,58,,NIL,NIL,NIL,,,,,,
"['03:00', '23/02']",23/02 03:00,290,5,NIL,9999,NIL,NIL,26,19,1009,65,,NIL,NIL,NIL,,,,,,
"['04:00', '23/02']",23/02 04:00,VRB,2,NIL,9999,NIL,NIL,25,19,1009,69,,NIL,NIL,NIL,,,,,,
"['05:00', '23/02']",23/02 05:00,230,2,NIL,9999,NIL,NIL,24,19,1009,74,,NIL,NIL,NIL,,,,,,
"['07:00', '23/02']",23/02 07:00,350,2,NIL,9999,NIL,NIL,24,20,1008,78,,NIL,NIL,NIL,,,,,,
"['08:00', '23/02']",23/02 08:00,VRB,2,NIL,9999,10000,5,24,21,1009,83,,NIL,NIL,NIL,,,,,,
"['09:00', '23/02']",23/02 09:00,VRB,2,NIL,9999,4000,5,23,23,1010,100,,1,NIL,NIL,,,,,,
"['09:20', '23/02']",23/02 09:20,310,5,115,6000,4000,5,23,23,1010,100,,1,NIL,NIL,,,,,,
"['09:38', '23/02']",23/02 09:38,320,9,330,4000,4000,5,23,23,1010,100,,1,1,1,,,,,,
"['10:00', '23/02']",23/02 10:00,310,8,NIL,7000,4000,5,23,23,1011,100,,1,NIL,1,,,,,,
"['11:00', '23/02']",23/02 11:00,VRB,2,NIL,9999,NIL,3,23,23,1011,100,,NIL,NIL,NIL,,,,,,
"['12:00', '23/02']",23/02 12:00,300,6,300,9999,NIL,3,26,22,1012,79,,NIL,NIL,NIL,,,,,,
"['13:00', '23/02']",23/02 13:00,VRB,1,NIL,9999,10000,5,27,22,1012,74,,NIL,NIL,NIL,,,,,,
"['14:00', '23/02']",23/02 14:00,260,5,255,9999,7500,5,28,22,1012,70,,NIL,NIL,NIL,,,,,,
"['17:00', '23/02']",23/02 17:00,310,6,310,9999,2600,5,29,22,1011,66,,NIL,NIL,NIL,,,,,,
"['18:00', '23/02']",23/02 18:00,280,4,280,9999,10000,5,29,22,1010,66,,NIL,NIL,NIL,,,,,,
"['19:00', '23/02']",23/02 19:00,180,7,180,9999,10000,5,28,21,1009,66,,NIL,NIL,NIL,,,,,,
"['20:00', '23/02']",23/02 20:00,160,9,NIL,9999,10000,5,28,20,1010,62,,NIL,NIL,NIL,,,,,,
"['21:00', '23/02']",23/02 21:00,150,10,NIL,9999,NIL,3,27,18,1011,58,,NIL,NIL,NIL,,,,,,
"['22:00', '23/02']",23/02 22:00,VRB,2,NIL,9999,NIL,3,26,19,1012,65,,NIL,NIL,NIL,,,,,,
