validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vnt_vrb,nevoa_umida,chuvisco,pancada,nevoeiro
"['12:00', '08/06']",08/06 12:00,90,7,9999,NIL,NIL,NIL,NIL,9500,5,27,24,1012,84,,NIL,,,,
"['13:00', '08/06']",08/06 13:00,90,6,9999,NIL,NIL,NIL,NIL,NIL,3,29,24,1013,74,,85,,,,
"['14:00', '08/06']",08/06 14:00,80,6,9999,NIL,NIL,NIL,NIL,9200,5,30,24,1012,70,,85,,,,
"['15:00', '08/06']",08/06 15:00,40,5,9999,3000,0,NIL,NIL,3100,5,28,25,1012,84,,235,,,,
"['16:00', '08/06']",08/06 16:00,330,5,9999,NIL,NIL,NIL,NIL,8300,5,29,25,1011,79,,NIL,,,,
"['17:00', '08/06']",08/06 17:00,360,7,9999,NIL,NIL,NIL,NIL,9000,5,29,23,1010,70,,NIL,,,,
"['17:28', '08/06']",08/06 17:28,10,11,3000,NIL,NIL,1,NIL,2500,5,27,26,1010,94,,NIL,,,,
"['18:00', '08/06']",08/06 18:00,60,15,1200,NIL,NIL,1,1,2000,5,25,23,1010,89,,NIL,,,,
"['19:00', '08/06']",08/06 19:00,40,4,9999,NIL,NIL,1,1,2500,5,26,23,1009,84,,NIL,,,,
"['20:00', '08/06']",08/06 20:00,40,7,9999,NIL,NIL,NIL,NIL,2500,5,25,23,1009,89,,NIL,,,,
"['21:00', '08/06']",08/06 21:00,300,2,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1010,94,,NIL,,,,
"['22:00', '08/06']",08/06 22:00,140,2,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1011,94,,NIL,,,,
"['23:00', '08/06']",08/06 23:00,100,4,9999,NIL,NIL,NIL,NIL,NIL,NIL,25,25,1011,100,,NIL,,,,
"['00:00', '09/06']",09/06 00:00,180,6,9999,NIL,NIL,NIL,NIL,10000,5,25,24,1012,94,,NIL,,,,
"['01:00', '09/06']",09/06 01:00,150,5,9999,NIL,NIL,NIL,,NIL,NIL,25,24,1012,94,,NIL,NIL,,,
"['02:00', '09/06']",09/06 02:00,120,3,9999,NIL,NIL,NIL,,NIL,NIL,25,24,1013,94,,NIL,NIL,,,
"['03:00', '09/06']",09/06 03:00,100,2,9999,NIL,NIL,NIL,,NIL,NIL,24,24,1012,100,,NIL,NIL,,,
"['04:00', '09/06']",09/06 04:00,90,2,9999,NIL,NIL,NIL,,NIL,NIL,24,24,1012,100,,NIL,NIL,,,
