vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,vnt_vel_mean,vnt_vel_top3_mean,tt_top3_mean,po_top3_mean,qnh_top3_mean,ur_top3_mean,chuva_count,week,year,Aeroporto_
10.285714285714286,18.24175824175824,13.758241758241759,1025.3076923076924,77.18681318681318,90,,1,,2500,6.6923076923076925,13.666666666666666,25.0,18.0,1028.3333333333333,100.0,2.0,25,2020,SBCF
7.714285714285714,17.86813186813187,11.659340659340659,1021.032967032967,70.94505494505495,160,,,,4500,3.868131868131868,10.333333333333334,26.0,14.333333333333334,1026.0,100.0,0.0,26,2020,SBCF
9.714285714285714,17.980392156862745,14.196078431372548,1019.8333333333334,81.37254901960785,130,,,,7000,4.715686274509804,11.666666666666666,26.0,18.0,1025.3333333333333,100.0,0.0,27,2020,SBCF
8.714285714285714,18.75824175824176,12.285714285714286,1021.3406593406594,70.18681318681318,140,,,,7000,4.34065934065934,12.666666666666666,26.666666666666668,15.0,1024.3333333333333,100.0,0.0,28,2020,SBCF
9.0,18.835164835164836,12.945054945054945,1023.1978021978022,71.7032967032967,100,,,,3500,6.065934065934066,13.666666666666666,27.333333333333332,15.0,1026.0,100.0,0.0,29,2020,SBCF
8.571428571428571,18.67032967032967,12.791208791208792,1023.054945054945,71.73626373626374,120,,,,4500,4.681318681318682,12.333333333333334,25.666666666666668,15.0,1026.0,100.0,0.0,30,2020,SBCF
9.857142857142858,18.89010989010989,12.604395604395604,1024.2087912087911,69.86813186813187,100,,,,4000,6.1098901098901095,14.333333333333334,26.666666666666668,15.666666666666666,1028.0,98.0,0.0,31,2020,SBCF
9.428571428571429,16.681318681318682,9.648351648351648,1027.6153846153845,66.0989010989011,100,,,,4000,6.1098901098901095,11.666666666666666,23.333333333333332,12.333333333333334,1030.6666666666667,93.66666666666667,0.0,32,2020,SBCF
8.142857142857142,20.0,12.934065934065934,1019.8351648351648,67.28571428571429,100,,,,8000,4.648351648351649,10.666666666666666,28.666666666666668,15.0,1024.3333333333333,96.0,0.0,33,2020,SBCF
10.0,19.483516483516482,13.89010989010989,1019.6923076923077,73.56043956043956,100,,1,,3000,6.4945054945054945,14.333333333333334,29.333333333333332,16.0,1024.6666666666667,100.0,9.0,34,2020,SBCF
9.857142857142858,18.10989010989011,10.208791208791208,1021.2087912087912,63.362637362637365,120,,,,4500,6.4945054945054945,12.333333333333334,27.333333333333332,14.666666666666666,1024.0,90.0,0.0,35,2020,SBCF
11.714285714285714,21.373626373626372,11.791208791208792,1022.7912087912088,58.2967032967033,90,23,,,,6.956043956043956,15.0,29.666666666666668,15.333333333333334,1026.3333333333333,84.66666666666667,0.0,36,2020,SBCF
10.0,22.346153846153847,11.115384615384615,1020.5384615384615,45.53846153846154,80,,,,,5.087912087912088,12.333333333333334,31.333333333333332,15.0,1025.0,86.33333333333333,0.0,37,2020,SBCF
9.0,23.956043956043956,11.978021978021978,1019.2637362637363,51.08791208791209,120,,,,,5.21978021978022,13.0,34.333333333333336,15.333333333333334,1025.3333333333333,78.66666666666667,0.0,38,2020,SBCF
11.571428571428571,21.703296703296704,14.23076923076923,1020.5384615384615,66.31868131868131,100,,1,,10000,7.263736263736264,15.0,32.666666666666664,17.0,1025.0,100.0,2.0,39,2020,SBCF
9.714285714285714,27.24175824175824,12.791208791208792,1017.6593406593406,43.83516483516483,100,,,,,5.329670329670329,13.0,35.666666666666664,17.0,1021.3333333333334,71.33333333333333,0.0,40,2020,SBCF
10.0,26.78021978021978,15.76923076923077,1016.7912087912088,54.53846153846154,100,,,,10000,5.9010989010989015,13.333333333333334,35.333333333333336,18.666666666666668,1020.6666666666666,81.33333333333333,0.0,41,2020,SBCF
11.571428571428571,21.76086956521739,16.065217391304348,1018.7173913043479,72.23913043478261,100,24,1,1,10000,7.608695652173913,14.666666666666666,32.0,18.0,1021.3333333333334,94.0,3.0,42,2020,SBCF
11.285714285714286,19.45,16.78,1018.37,85.49,90,,1,1,10000,7.03,16.0,24.333333333333332,20.0,1022.0,100.0,26.0,43,2020,SBCF
11.0,22.123711340206185,17.185567010309278,1013.6494845360825,76.22680412371135,140,15,1,1,10000,6.494845360824742,14.0,31.333333333333332,19.333333333333332,1019.0,100.0,9.0,44,2020,SBCF
9.428571428571429,22.263736263736263,15.263736263736265,1017.1318681318681,67.16483516483517,70,,,,3000,5.857142857142857,12.333333333333334,31.0,18.0,1022.0,96.0,0.0,45,2020,SBCF
9.428571428571429,22.94736842105263,17.621052631578948,1016.9894736842106,73.69473684210526,320,,1,1,10000,4.410526315789474,11.0,30.666666666666668,21.0,1020.6666666666666,100.0,6.0,46,2020,SBCF
8.857142857142858,23.083333333333332,18.375,1014.09375,76.17708333333333,340,,1,1,3000,5.427083333333333,11.0,29.666666666666668,20.666666666666668,1020.0,94.0,2.0,47,2020,SBCF
11.428571428571429,23.011494252873565,15.64367816091954,1021.0697674418604,64.63218390804597,90,,,,4000,8.436781609195402,12.666666666666666,28.0,17.0,1024.0,83.0,0.0,48,2020,SBCF
10.142857142857142,23.726315789473684,18.46315789473684,1017.1684210526316,73.8,80,,1,1,10000,5.484210526315789,14.666666666666666,30.0,20.666666666666668,1020.3333333333334,96.0,8.0,49,2020,SBCF
9.571428571428571,22.536082474226806,18.989690721649485,1017.3505154639175,81.64948453608247,10,,1,1,10000,4.948453608247423,13.333333333333334,29.0,21.0,1020.3333333333334,100.0,19.0,50,2020,SBCF
7.285714285714286,24.647727272727273,17.329545454545453,1015.9545454545455,66.69318181818181,100,,,,10000,4.1477272727272725,9.333333333333334,32.0,20.0,1019.0,100.0,0.0,51,2020,SBCF
10.428571428571429,23.180851063829788,18.425531914893618,1015.7659574468086,75.86170212765957,60,,1,1,10000,5.170212765957447,14.0,29.333333333333332,20.0,1019.0,94.0,9.0,52,2020,SBCF
7.666666666666667,23.743589743589745,17.025641025641026,1017.5641025641025,67.28205128205128,20,,,,2000,4.923076923076923,8.333333333333334,28.666666666666668,18.333333333333332,1020.0,84.66666666666667,0.0,53,2020,SBCF
